Station Name,2019-20 Entries & Exits_TOTAL,2018-19 Entries & Exits_TOTAL,% change,2019-20 Entries & Exits_RANK,Local Authority,Constituency,NUTS2 Spatial Unit,Network Rail Region,Request stop
Aberdeen,"2,497,108","2,616,142",-4.5%,241,Aberdeen City,Aberdeen North,North Eastern Scotland,Scotland,
Aberdour,"126,340","140,048",-9.8%,"1,624",Fife,Kirkcaldy and Cowdenbeath,Eastern Scotland,Scotland,
Achanalt,326,394,-17.3%,"2,541",Highland,"Ross, Skye and Lochaber",Highlands and Islands,Scotland,Request stop
Achnasheen,"3,234","3,284",-1.5%,"2,438",Highland,"Ross, Skye and Lochaber",Highlands and Islands,Scotland,
Achnashellach,836,820,2.0%,"2,519",Highland,"Ross, Skye and Lochaber",Highlands and Islands,Scotland,Request stop
Addiewell,"17,242","17,640",-2.3%,"2,259",West Lothian,Livingston,Eastern Scotland,Scotland,
Airbles,"118,856","114,442",3.9%,"1,654",North Lanarkshire,Motherwell and Wishaw,West Central Scotland,Scotland,
Airdrie,"1,009,104","1,098,012",-8.1%,573,North Lanarkshire,Airdrie and Shotts,West Central Scotland,Scotland,
Alexandra Parade,"392,600","418,768",-6.2%,"1,031",Glasgow City,Glasgow North East,West Central Scotland,Scotland,
Alexandria,"233,278","244,378",-4.5%,"1,306",West Dunbartonshire,West Dunbartonshire,West Central Scotland,Scotland,
Alloa,"393,360","370,452",6.2%,"1,029",Clackmannanshire,Ochil and South Perthshire,Eastern Scotland,Scotland,
Alness,"27,050","30,426",-11.1%,"2,172",Highland,"Caithness, Sutherland and Easter Ross",Highlands and Islands,Scotland,
Altnabreac,232,408,-43.1%,"2,549",Highland,"Caithness, Sutherland and Easter Ross",Highlands and Islands,Scotland,Request stop
Anderston,"715,074","728,408",-1.8%,730,Glasgow City,Glasgow Central,West Central Scotland,Scotland,
Annan,"133,270","139,370",-4.4%,"1,596",Dumfries and Galloway,"Dumfriesshire, Clydesdale and Tweeddale",Southern Scotland,Scotland,
Anniesland,"1,144,568","1,136,078",0.7%,516,Glasgow City,Glasgow North West,West Central Scotland,Scotland,
Arbroath,"377,582","369,906",2.1%,"1,056",Angus,Angus,Eastern Scotland,Scotland,
Ardgay,"6,408","6,998",-8.4%,"2,385",Highland,"Caithness, Sutherland and Easter Ross",Highlands and Islands,Scotland,
Ardlui,"3,982","5,622",-29.2%,"2,424",Argyll and Bute,Argyll and Bute,West Central Scotland,Scotland,Request stop
Ardrossan Harbour,"123,904","131,374",-5.7%,"1,629",North Ayrshire,North Ayrshire and Arran,Southern Scotland,Scotland,
Ardrossan South Beach,"215,924","220,638",-2.1%,"1,356",North Ayrshire,North Ayrshire and Arran,Southern Scotland,Scotland,
Ardrossan Town,"22,364","22,348",0.1%,"2,212",North Ayrshire,North Ayrshire and Arran,Southern Scotland,Scotland,
Argyle Street,"1,311,820","1,295,376",1.3%,451,Glasgow City,Glasgow Central,West Central Scotland,Scotland,
Arisaig,"5,942","6,226",-4.6%,"2,392",Highland,"Ross, Skye and Lochaber",Highlands and Islands,Scotland,
Armadale (West Lothian),"251,770","260,082",-3.2%,"1,277",West Lothian,Linlithgow and East Falkirk,Eastern Scotland,Scotland,
Arrochar & Tarbet,"18,288","20,192",-9.4%,"2,251",Argyll and Bute,Argyll and Bute,West Central Scotland,Scotland,
Ashfield,"66,384","84,458",-21.4%,"1,918",Glasgow City,Glasgow North East,West Central Scotland,Scotland,
